n,p,f,x,y,z,a1,a2,a3,a4,b1,b2,b3,b4,c1,c2,c3,c4,g1,g2,l1,l2,l3,l4,e1,e2,cent_price_cor,cent_trans_cor
709,0.7,0.2,16,12,7,3.8,0.24,2.3,0.28,1.4,0.2,3.1,0.17,4.7,0.19,2.2,0.21,0.186,0.5,0.147,1.5,0.089,1.6,1.5,2.6,-0.169,0.375
921,0.6,0.3,19,17,10,3,0.12,2.4,0.19,2,0.1,2.3,0.27,3.9,0.12,4.6,0.24,0.079,1.2,0.186,1.6,0.076,1.8,0.6,0.4,-0.075,0.234
177,0.8,0.4,14,12,5,3.2,0.17,1.8,0.18,2.5,0.24,1.8,0.28,4.4,0.24,3.9,0.28,0.036,1.4,0.048,0.7,0.073,0.6,2.7,0.3,-0.177,0.389
415,0.7,0.5,24,11,2,1.3,0.17,1.5,0.18,3.1,0.16,3.6,0.16,2.6,0.11,4.9,0.2,0.063,1.1,0.151,0.8,0.022,1.1,0.5,0.1,-0.102,0.358
802,0.8,0.4,21,10,3,4.4,0.15,2.6,0.13,2.2,0.28,1.4,0.26,4.3,0.24,2.4,0.24,0.044,1.9,0.123,1.9,0.046,1.1,2,0.6,-0.034,0.18
373,0.6,0.5,23,22,6,3.7,0.22,1,0.22,3.9,0.28,2.2,0.23,2.1,0.22,2.2,0.14,0.002,1.5,0.111,0.9,0.097,1.4,0.9,0.9,-0.007,0.258
318,0.9,0.4,29,13,7,3.3,0.27,4.6,0.17,3.3,0.19,4.3,0.12,4.2,0.19,1.6,0.26,0.018,1,0.007,1,0.011,1.6,0.5,1.2,-0.051,0.129
321,0.6,0.3,27,17,2,1.1,0.11,5,0.11,3.8,0.19,4.5,0.23,3.4,0.25,4.6,0.19,0.008,1.1,0.159,1.7,0.043,0.5,1,2.2,-0.273,0.53
231,0.7,0.3,21,12,8,4.7,0.28,2,0.23,3.3,0.3,2,0.26,3.3,0.25,2.5,0.12,0.107,1.8,0.127,0.7,0.065,0.8,0.8,1.3,-0.231,0.403
981,0.9,0.3,23,15,8,2.8,0.15,2,0.1,3.7,0.16,1.4,0.18,3,0.29,1.6,0.18,0.088,1.5,0.125,0.9,0.059,0.8,1.2,2.4,-0.519,0.339
286,0.8,0.3,15,14,2,2.8,0.18,3.2,0.14,2.4,0.22,4.5,0.29,2.3,0.14,1.6,0.13,0.138,0.8,0.11,0.7,0.076,1.8,1.6,0.2,-0.248,0.461
491,0.8,0.2,20,11,10,3.9,0.18,3.8,0.13,1.8,0.22,4.2,0.22,1.2,0.11,3.4,0.17,0.004,1.7,0.195,1.4,0.001,1.9,2.4,1.2,-0.287,0.313
824,0.8,0.4,14,28,6,1.6,0.28,1.6,0.19,2.3,0.3,1.2,0.17,2.8,0.11,2.4,0.16,0.021,0.7,0.035,0.9,0.099,0.7,0.4,2.7,-0.021,0.132
252,0.7,0.4,28,15,8,3.5,0.18,4.1,0.11,1.6,0.29,1.9,0.2,3.3,0.11,3.5,0.23,0.1,1.5,0.09,0.6,0.021,1,2.7,1,-0.082,0.077
788,0.7,0.5,27,12,9,2,0.25,2.9,0.14,4.2,0.21,3.3,0.17,3.5,0.17,2.1,0.21,0.178,1.5,0.117,0.8,0.045,1.3,1.2,2,-0.305,0.417
261,0.8,0.3,29,11,4,1.7,0.1,3.9,0.13,3.1,0.1,4.5,0.26,4.4,0.14,4.6,0.14,0.106,1.2,0.114,1.4,0.059,0.6,2.8,1.4,-0.165,0.312
449,0.8,0.3,30,21,10,4.8,0.23,3.6,0.1,4.4,0.25,1.8,0.26,1.4,0.28,3.4,0.24,0.029,1.8,0.132,0.7,0.081,0.8,1.1,0.2,-0.2,0.374
781,0.8,0.4,30,26,5,1.5,0.28,1.1,0.22,4.3,0.24,2.5,0.29,2.1,0.24,3.8,0.17,0.102,1.2,0.053,2,0.049,2,1.4,1.4,-0.126,0.181
401,0.7,0.2,23,16,7,2.6,0.15,1.7,0.17,3.2,0.16,3.5,0.28,3,0.23,1.9,0.16,0.106,1.4,0.086,1.2,0.091,1.8,2.1,2.4,-0.084,0.28
724,0.7,0.4,14,11,9,2.7,0.1,4.1,0.19,3.3,0.26,1.1,0.26,3.9,0.23,4,0.25,0.126,0.8,0.183,1.8,0.051,1.5,2.1,0.2,-0.229,0.329
307,0.7,0.4,11,17,3,3.8,0.27,2,0.25,2.9,0.24,1.2,0.27,3.7,0.24,4.1,0.22,0.153,0.8,0.131,0.9,0.05,1.6,2.9,0.4,-0.078,0.086
451,0.6,0.3,30,30,9,3.2,0.26,2.3,0.2,1.1,0.22,2,0.22,3.5,0.21,3.5,0.26,0.146,1,0.067,0.6,0.042,1.2,2.3,2.7,-0.15,0.253
447,0.8,0.3,27,12,7,3.4,0.1,3.5,0.28,2.4,0.27,1.6,0.23,2,0.22,3.4,0.19,0.094,1.3,0.031,1.3,0.087,1.6,0.3,2,-0.191,0.231
598,0.8,0.4,11,11,1,3.4,0.16,1.7,0.23,4.2,0.19,3.3,0.13,2.8,0.17,1,0.18,0.193,1.4,0.13,1.5,0.063,0.5,2,1,-0.01,0.225
661,0.8,0.3,13,15,7,1.7,0.22,2.7,0.22,2.9,0.27,4.7,0.26,4.9,0.25,3.3,0.11,0.168,1.6,0.165,1.6,0.022,1.3,2.6,1.6,-0.176,0.237
